Status,Subsystem,Supplier,Description,Qty.,Cost,Total Cost,Link
In Stock,Aero,Jamestown Distributors,105 West Systems Resin,1,110.78,110.78,https://www.jamestowndistributors.com/product/product-detail/3760?gclid=Cj0KCQiA9OiPBhCOARIsAI0y71AmOcjs6RAG4GGqK8jUd8RLJlzI3bI07B7b-_YGPV2lbw9vVXTKFDsaAjv3EALw_wcB
In Stock,Aero,Jamestown Distributors,206 West Systems Cure Hardener,1,59.65,59.65,https://www.jamestowndistributors.com/product/product-detail/3813
In Stock,Aero,Amazon,3M 08115 panel bonding,8,44.39,355.12,https://www.amazon.com/3M-08115-Panel-Bonding-Adhesive/dp/B000PEW4MI/ref=sr_1_3?crid=QYVCO0VE7SRG&keywords=3m+panel+bonding+adhesive+08115&qid=1640824880&sprefix=3m+panel%2Caps%2C74&sr=8-3
In Stock,Aero,Lowes,Popsicle sticks,1,23.96,23.96,https://www.lowes.com/pd/Creativity-Street-Jumbo-Craft-Sticks-Natural-6-in-x-0-75-in-500-Per-Pack-2-Packs/5000204007
In Stock,Aero,Composite Envisions,MYCELL MO60 PVC FOAM CORE Plain,1,14.33,14.33,"https://compositeenvisions.com/product/mycell-mo60-pvc-foam-core-plain/?compare=1117,1857,3617"
In Stock,Aero,Composite Envisions,Vacuum bag,1,1020.00,1020.00,"https://compositeenvisions.com/product/airtech-ipplon-km1300-nylon-vacuum-bagging-film/?attribute_pa_width=60&attribute_pa_thickness=0-002&compare=1117,1857,3617"
In Stock,Aero,Composite Envisions,"General Purpose Mold Release: 12 oz, Aerosol Can, Dimethyl Ether, Wet, Liquid",3,14.18,42.54,https://www.grainger.com/product/STONER-General-Purpose-Mold-Release-35HY36
In Stock,Aero,Amazon,1 gallon high performance epoxy resin,1,99.99,99.99,https://www.amazon.com/dp/B01N19LAKD/ref=twister_B09TMBT43X?_encoding=UTF8&th=1
In Stock,Chassis,BSCI,CarbonX Fire Retardant Cloth,2,65.00,130.00,https://www.rollbarpadding.com/product/id-51
In Stock,Chassis,BSCI,IMPAXX 700,1,170.00,170.00,https://www.rollbarpadding.com/product/id-48
In Stock,Chassis,BSCI,"SFI 45.1 Approved Roll Bar Padding - 78000 Series - Low Profile (Sold as a Set of Two Sticks of Roll Bar Padding) 3/4"" thick to fit 1-1/4 to1-3/8 bar diameter",1,56.50,56.50,https://www.rollbarpadding.com/product/id-33
In Stock,Chassis,Fiberglass Supply,Duratec Gray Surfacing Primer (gallon) ,2,119.95,239.90,https://www.fibreglast.com/product/Duratec_Gray_Surfacing_Primer_1041#floatingcart_a
In Stock,Chassis,Grainger,"Series DP420, Epoxy Adhesive, Dual-Cartridge, 1.69 oz, Off-White, 20 min Work Life",1,55.62,55.62,https://www.grainger.com/product/489J98?ef_id=Cj0KCQiA-qGNBhD3ARIsAO_o7ynnMa-hUnqfNP60tc19Y0RxwJilwe0WmtRPU_O18tDqKdrSho83Nm0aAnMEEALw_wcB:G:s&s_kwcid=AL!2966!3!496359970774!!!g!461781425234!&gucid=N:N:PS:Paid:GGL:CSM-2295:4P7A1P:20501231&gclid=Cj0KCQiA-qGNBhD3ARIsAO_o7ynnMa-hUnqfNP60tc19Y0RxwJilwe0WmtRPU_O18tDqKdrSho83Nm0aAnMEEALw_wcB&gclsrc=aw.ds
In Stock,Chassis,Amazon,"3M Scotch-Weld Epoxy Adhesive DP420, Black, 200 ml Duo-Pak",1,92.75,92.75,https://www.amazon.com/3M-Scotch-Weld-021200415302-DP420-Adhesive/dp/B0188T8Q4G
In Stock,Chassis,Amazon,"3M Scotch-Weld Epoxy Adhesive DP420, Black, 200 ml Duo-Pak",1,92.75,92.75,https://www.amazon.com/3M-Scotch-Weld-021200415302-DP420-Adhesive/dp/B0188T8Q4G
In Stock,Chassis,U Bolt Direct,"2.75"" Square U bolt. 4.5"" inside length. No fasteners needed",2,6.25,12.50,https://store.uboltsdirect.com/3/8-u-bolts/square/38-x-2-34-inside-width
Hold Off,Chassis,HMS Motorsport,SFI 16.1 Profi 2x2,1,320.00,320.00,https://www.hmsmotorsport.com/item/sfi-16.1-profi-2x2/sfi-16-1-harnesses
In Stock,Controls,Kaz Technologies,"Splined Insert - 3/4""-20 spline x 0.510"" OD for 3/4"" tube with 0.120"" wall",4,11.00,44.00,https://kaz-technologies.myshopify.com/products/u-joint-stubs-10-00
In Stock,Controls,McMaster Carr,Throttle Tab Grommet,1,13.01,13.01,https://www.mcmaster.com/9311K131/
In Stock,Controls,Ebay,Tilton Engineering 72-509 Tilton Standard Remote Brake Bias Adjuster RED,1,68.78,68.78,https://www.ebay.com/p/712743661
In Stock,Controls,Digi-key,Paddle Shifter Switch,2,5.03,10.06,https://www.digikey.com/en/products/detail/crouzet/3476966/3476966?s=N4IgTCBcDaIJwDYEFoCMBmALABmQOQBEQBdAXyA
In Stock,Controls,Speedway Motors,"Sweet Manufacturing 3/4""-20 spline to 3/4"" round U-joint",1,53.96,53.96,"https://www.speedwaymotors.com/Sweet-Mfg-U-Joint-3-4-Inch-20-Spline-to-3-4-Inch-Round-Weld-On,31998.html"
In Stock,Controls,Mouser,E-Stop Switch,1,39.77,39.77,https://www.mouser.com/ProductDetail/EAO/84-50212B20?qs=%2Fha2pyFaduiDxwhShpKNBC0caFHhjldCbnNdYfzrph60iTl24ZysEQ%3D%3D
In Stock,Controls,Amazon,APIELE 19mm Push Button 12V Green LED Black Shell Start Button ,1,10.49,10.49,https://www.amazon.com/API-ELE-warranty-Momentary-Stainless-Self-reset/dp/B08LV85NPK/ref=sr_1_11?crid=2OLAAAD6M6M5O&keywords=momentary%2Bpush%2Bbutton&qid=1642868070&sprefix=momentary%2Bpush%2Bbutton%2Caps%2C87&sr=8-11&th=1
In Stock,Controls,Summit Racing,Steering wheel quick disconnect,1,104.99,104.99,https://www.summitracing.com/parts/str-q1000
In Stock,Controls,Dime City Cycles,Perch and Lever Assembly,1,64.00,64.00,https://www.dimecitycycles.com/magura-73-2-sport-brake-lever-single-pull-w-6-5-8-2mm-adju.html
In Stock,Controls,O'Reilly's,"30"" Brake Line",1,7.49,7.49,https://www.oreillyauto.com/detail/c/american-grease-stick/brakes/brake-hydraulics/brake-lines---domestic/d3e2edb38fe0/american-grease-stick-steel-polyvinyl-fluoride-pvf-30-inch-brake-line/ags0/pab330
Hold Off,Controls,O'Reilly's,"72"" Brake Line",1,11.39,11.39,https://www.oreillyauto.com/detail/c/american-grease-stick/brakes/brake-hydraulics/brake-lines---domestic/d3e2edb38fe0/american-grease-stick-steel-polyvinyl-fluoride-pvf-72-inch-brake-line/ags0/pa372
In Stock,Controls,Amazon,1.5x3500mm slick,1,12.95,12.95,https://www.amazon.com/Jagwire-Mountain-Brake-Inner-Wire1-5X3500mm/dp/B001GSSCRI/ref=sr_1_1?dchild=1&keywords=ca4433&qid=1602804273&sr=8-1
In Stock,Controls,Tilton,"Rear spherical bearing, 1.1"" stroke, AN3 (3/8) outlet and AN6 (9/16) inlet",1,265.00,265.00,https://tiltonracing.com/product/78-series-master-cylinders/
In Stock,Controls,Tilton,"Rear spherical bearing, 1.1"" stroke, AN3 (3/8) outlet and AN6 (9/16) inlet",1,265.00,265.00,https://tiltonracing.com/product/78-series-master-cylinders/
In Stock,Controls,Digi-key,Switch toggle,3,4.73,14.19,https://www.digikey.com/en/products/detail/M2011SS1W01%2FUC/360-3289-ND/2105194
Hold Off,Controls,Pingel,Electric Speed Shifter Kit - Yamaha YFZ 450R 2009,1,1139.95,1139.95,http://www.pingelonline.com/electric-shifter-kits/77303-electric-speed-shifter-kit-yamaha-yfz-450r-2009.asp
In Stock,Controls,O'Reilly's,Optronics Clearance/Marker Light (brake light),1,5.49,5.49,https://www.oreillyauto.com/detail/c/optronics/lighting---electrical/trailer---utility-lighting/clearance-marker-lights---red/852e9e49938a/optronics-clearance-marker-light/opt0/mc67rk
In Stock,Controls,Amazon,Brake reservoirs ,2,7.56,15.12,https://www.amazon.com/GOOFIT-Plastic-Universal-Reservoir-Kawasaki/dp/B00Z9U229I/ref=sr_1_1?keywords=brake+reservoir&qid=1576599453&sr=8-1
In Stock,Controls,Racetronix,-3AN Union Male fitting,2,1.97,3.94,https://www.racetronix.biz/p/-3an-union-aluminium-black/adf-481503
In Stock,Controls,Racetronix,Male -6AN x -4AN fitting,2,2.44,4.88,https://www.racetronix.biz/p/flare-reducer-male-6an-x-4an-black/adf-6j4j?dfw_tracker=58263-ADF-6J4J&gclid=CjwKCAiAwKyNBhBfEiwA_mrUMvsJ0eMYDhVQ7p6mWErduoECMgZhdPEaKAph6C5aubACT6sEaaLq_BoCWskQAvD_BwE
In Stock,Controls,CMS Magnetics,"N45 Neodymium disc magneet 1/2""x1/4""",25,0.91,22.75,https://www.magnet4sale.com/n45-1-2x1-4-neodymium-rare-earth-disc-magnet/
In Stock,Controls,Amazon,Digital Gear Indicator for Yamaha R6,1,119.99,119.99,https://www.amazon.com/Yamaha-YZF-R6-1998-2013-Healtech-Indicator/dp/B0062ZS5EA
In Stock,Controls,Harris,"Wilwood PS-1 Calipers, 1.120 in Piston Diameter Left side",2,98.11,196.22,https://www.summitracing.com/parts/wil-120-8374
In Stock,Controls,Harris,"Wilwood PS-1 Calipers, 1.120 in Piston Diameter Right side",2,98.11,196.22,https://www.summitracing.com/parts/wil-120-8373
In Stock,Controls,Harris,Wilwood Sintered Metallic Brake Pads (Set of 4 Pads),2,52.43,104.86,https://www.summitracing.com/parts/wil-150-4091k
In Stock,Controls,Amazon,24in Anti Glare Screen Protector,1,28.99,28.99,https://www.amazon.com/dp/B06WGNYG96?tag=getpanacast-20&linkCode=ogi&th=1&psc=1
In Stock,Controls,Speedway Motors,"Brake light pressure switch (transducer) 3/8"" apdpter fitting with 1/8"" male NPT",1,21.99,21.99,"https://www.speedwaymotors.com/Brake-Light-Switch-with-3-8-Inch-IFM-Adapter-Fitting,80727.html "
In Stock,Controls,Amazon,Custom Clutch cable kit,1,29.98,29.98,https://www.amazon.com/Venhill-U01-1-102-BK-Universal-Motorcycle-Clutch/dp/B07GL49R1K/ref=sr_1_17?crid=21P4SYM6AGDP&keywords=70+inch+motorcycle+clutch+cable&qid=1646500155&sprefix=70+inch+motorcycle+clutch+cable%2Caps%2C69&sr=8-17
In Stock,Controls,Kaz Technologies,Kaz FSAE Steeering Rack,1,670.00,670.00,https://www.kaztechnologies.com/fsae/steering-rack/
In Stock,Controls,Kaz Technologies,"Splined U-Joint, scroll down on page",1,103.50,103.50,https://www.kaztechnologies.com/fsae/steering-rack/
In Stock,Controls,Kaz Technologies,"Rack Clevis pair, scroll down on page",1,49.00,49.00,https://www.kaztechnologies.com/fsae/steering-rack/
In Stock,Controls,Kaz Technologies,Steering Angle Sensor,1,130.00,130.00,https://www.kaztechnologies.com/fsae/steering-rack/
In Stock,Controls,Sweet Manufacturing,"Sweet Mfg. U-Joint, 3/4 Inch-20 Spline to 3/4 Inch Round, Weld-On",1,53.96,53.96,"https://www.speedwaymotors.com/Sweet-Mfg-U-Joint-3-4-Inch-20-Spline-to-3-4-Inch-Round-Weld-On,31998.html"
In Stock,Engine,EarthX,Battery,1,258.30,258.30,https://earthxbatteries.com/shop/etx36c
In Stock,Engine,Performance Electronics,26-pin harness,1,127.00,127.00,https://pe-ltd.com/product/pe3-26-pin-connector-harness/
In Stock,Engine,Performance Electronics,34-pin harness,1,143.00,143.00,https://pe-ltd.com/product/pe3-34-pin-connector-harness/
In Stock,Engine,Performance Electronics,1-bar Map Sensor,1,60.00,60.00,https://pe-ltd.com/product/1-bar-map-sensor-compact/
In Stock,Engine,Amazon,Starter Solenoid Relay,1,7.69,7.69,https://www.amazon.com/dp/B08F786S7Y/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B08F786S7Y&pd_rd_w=6YWgX&pf_rd_p=9fd3ea7c-b77c-42ac-b43b-c872d3f37c38&pd_rd_wg=N2MjI&pf_rd_r=5D5ZHTN5604KWQ4JMN3C&pd_rd_r=ac2272c1-caef-49e5-b29d-3ab429e16671&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExMFdJSk9PRUNOSkJJJmVuY3J5cHRlZElkPUEwODg2ODI4MkdCRkVRN09VUVUzRCZlbmNyeXB0ZWRBZElkPUEwNTYwNzQzMVVOQUw0R1NJSjAyTiZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
In Stock,Engine,amazon,5 Terminal Bus Bar,3,15.47,46.41,https://www.amazon.com/gp/product/B0763D87ZG/ref=crt_ewc_title_dp_2?ie=UTF8&psc=1&smid=A8FBWALW1QSDH
In Stock,Engine,Amazon,RJ45 Passthrough Bulkhead,1,11.99,11.99,https://www.amazon.com/Installerparts-Shielded-Industrial-Bulkhead-Coupler/dp/B01D0N7AI8
